index,vehicle_id,p_start,p_temp,p_end,pre_routes,freq,label,regions
573,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.734, 10.8024)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'nguyễn_duy_hiệu')",152,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
576,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.734, 10.8034)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'số_39')",128,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
577,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.73200000000001, 10.8028)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'quốc_hương')",192,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
582,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.73200000000001, 10.8)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'empty')",176,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
583,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.73100000000001, 10.7996)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'cầu_sài_gòn_1')",320,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
588,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'điện_biên_phủ')",456,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
626,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'nguyễn_văn_trỗi')",112,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận')"
941,100000025,"(106.74, 10.8014)","(106.734, 10.8034)","(106.73100000000001, 10.7996)","('xa_lộ_hà_nội', 'số_39', 'cầu_sài_gòn_1')",115,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
946,100000025,"(106.74, 10.8014)","(106.734, 10.8034)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'số_39', 'điện_biên_phủ')",159,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1027,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8028)","(106.73200000000001, 10.8)","('xa_lộ_hà_nội', 'quốc_hương', 'empty')",106,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
1028,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8028)","(106.73100000000001, 10.7996)","('xa_lộ_hà_nội', 'quốc_hương', 'cầu_sài_gòn_1')",215,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1033,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8028)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'quốc_hương', 'điện_biên_phủ')",321,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1071,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8028)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'quốc_hương', 'nguyễn_văn_trỗi')",112,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận')"
1371,100000025,"(106.74, 10.8014)","(106.73299999999999, 10.8007)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'trần_não', 'điện_biên_phủ')",120,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1448,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8)","(106.73100000000001, 10.7996)","('xa_lộ_hà_nội', 'empty', 'cầu_sài_gòn_1')",220,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1453,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'empty', 'điện_biên_phủ')",324,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
1489,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8)","(106.68299999999999, 10.7908)","('xa_lộ_hà_nội', 'empty', 'empty')",107,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_3')"
1530,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.729, 10.7993)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'cầu_sài_gòn_1')",409,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1534,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'điện_biên_phủ')",1812,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1540,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.713, 10.8014)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'cầu_vượt_ngã_tư_hàng_xanh')",128,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1549,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.697, 10.7906)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'đinh_tiên_hoàng')",148,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
1553,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.695, 10.7912)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'võ_thị_sáu')",964,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
1563,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.68799999999999, 10.7858)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'nam_kỳ_khởi_nghĩa')",502,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_3')"
1572,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'nguyễn_văn_trỗi')",1166,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_phú_nhuận')"
1925,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.721, 10.7983)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'điện_biên_phủ')",1752,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1930,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.713, 10.8014)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'cầu_vượt_ngã_tư_hàng_xanh')",108,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
1939,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.697, 10.7906)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'đinh_tiên_hoàng')",348,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
1943,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.695, 10.7912)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'võ_thị_sáu')",2256,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
1953,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.68799999999999, 10.7858)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'nam_kỳ_khởi_nghĩa')",1176,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_3')"
1961,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.682, 10.7915)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'cầu_công_lý')",150,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_12_quận_phú_nhuận')"
1962,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'nguyễn_văn_trỗi')",2730,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_phú_nhuận')"
1990,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.625, 10.8145)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'd9')",120,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_tây_thạnh_quận_tân_phú')"
2368,100000025,"(106.74, 10.8014)","(106.713, 10.8014)","(106.708, 10.8005)","('xa_lộ_hà_nội', 'cầu_vượt_ngã_tư_hàng_xanh', 'điện_biên_phủ')",192,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_15_quận_bình_thạnh')"
2378,100000025,"(106.74, 10.8014)","(106.713, 10.8014)","(106.695, 10.7912)","('xa_lộ_hà_nội', 'cầu_vượt_ngã_tư_hàng_xanh', 'võ_thị_sáu')",232,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
2388,100000025,"(106.74, 10.8014)","(106.713, 10.8014)","(106.68799999999999, 10.7858)","('xa_lộ_hà_nội', 'cầu_vượt_ngã_tư_hàng_xanh', 'nam_kỳ_khởi_nghĩa')",124,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_3')"
2397,100000025,"(106.74, 10.8014)","(106.713, 10.8014)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'cầu_vượt_ngã_tư_hàng_xanh', 'nguyễn_văn_trỗi')",284,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_phú_nhuận')"
2963,100000025,"(106.74, 10.8014)","(106.697, 10.7906)","(106.695, 10.7912)","('xa_lộ_hà_nội', 'đinh_tiên_hoàng', 'võ_thị_sáu')",272,FALSE,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_đa_kao_quận_1')"
2973,100000025,"(106.74, 10.8014)","(106.697, 10.7906)","(106.68799999999999, 10.7858)","('xa_lộ_hà_nội', 'đinh_tiên_hoàng', 'nam_kỳ_khởi_nghĩa')",152,FALSE,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_8_quận_3')"
2982,100000025,"(106.74, 10.8014)","(106.697, 10.7906)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'đinh_tiên_hoàng', 'nguyễn_văn_trỗi')",340,FALSE,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_8_quận_phú_nhuận')"
3198,100000025,"(106.74, 10.8014)","(106.695, 10.7912)","(106.694, 10.7904)","('xa_lộ_hà_nội', 'võ_thị_sáu', 'võ_thị_sáu')",810,FALSE,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_đa_kao_quận_1')"
3207,100000025,"(106.74, 10.8014)","(106.695, 10.7912)","(106.68799999999999, 10.7858)","('xa_lộ_hà_nội', 'võ_thị_sáu', 'nam_kỳ_khởi_nghĩa')",908,FALSE,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_8_quận_3')"
3215,100000025,"(106.74, 10.8014)","(106.695, 10.7912)","(106.682, 10.7915)","('xa_lộ_hà_nội', 'võ_thị_sáu', 'cầu_công_lý')",116,FALSE,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_12_quận_phú_nhuận')"
3216,100000025,"(106.74, 10.8014)","(106.695, 10.7912)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'võ_thị_sáu', 'nguyễn_văn_trỗi')",2104,FALSE,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_8_quận_phú_nhuận')"
3244,100000025,"(106.74, 10.8014)","(106.695, 10.7912)","(106.625, 10.8145)","('xa_lộ_hà_nội', 'võ_thị_sáu', 'd9')",100,FALSE,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_tây_thạnh_quận_tân_phú')"
3723,100000025,"(106.74, 10.8014)","(106.68799999999999, 10.7858)","(106.68700000000001, 10.7868)","('xa_lộ_hà_nội', 'nam_kỳ_khởi_nghĩa', 'nam_kỳ_khởi_nghĩa')",210,FALSE,"('phường_thảo_điền_quận_2', 'phường_8_quận_3', 'phường_8_quận_3')"
3731,100000025,"(106.74, 10.8014)","(106.68799999999999, 10.7858)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'nam_kỳ_khởi_nghĩa', 'nguyễn_văn_trỗi')",1108,FALSE,"('phường_thảo_điền_quận_2', 'phường_8_quận_3', 'phường_8_quận_phú_nhuận')"
4071,100000025,"(106.74, 10.8014)","(106.682, 10.7915)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'cầu_công_lý', 'nguyễn_văn_trỗi')",142,FALSE,"('phường_thảo_điền_quận_2', 'phường_12_quận_phú_nhuận', 'phường_8_quận_phú_nhuận')"
4110,100000025,"(106.74, 10.8014)","(106.681, 10.7926)","(106.68, 10.7928)","('xa_lộ_hà_nội', 'nguyễn_văn_trỗi', 'nguyễn_văn_trỗi')",1208,FALSE,"('phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận', 'phường_8_quận_phú_nhuận')"
4130,100000025,"(106.74, 10.8014)","(106.681, 10.7926)","(106.613, 10.8176)","('xa_lộ_hà_nội', 'nguyễn_văn_trỗi', 'cn1')",112,FALSE,"('phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận', 'phường_tây_thạnh_quận_tân_phú')"
4137,100000025,"(106.74, 10.8014)","(106.681, 10.7926)","(106.625, 10.8145)","('xa_lộ_hà_nội', 'nguyễn_văn_trỗi', 'd9')",140,FALSE,"('phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận', 'phường_tây_thạnh_quận_tân_phú')"
4142,100000025,"(106.74, 10.8014)","(106.681, 10.7926)","(106.62799999999999, 10.8119)","('xa_lộ_hà_nội', 'nguyễn_văn_trỗi', 'chế_lan_viên')",112,FALSE,"('phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận', 'phường_tây_thạnh_quận_tân_phú')"
9982,100000025,"(106.738, 10.8012)","(106.736, 10.8026)","(106.734, 10.8024)","('thảo_điền', 'nguyễn_duy_hiệu', 'nguyễn_duy_hiệu')",370,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
9985,100000025,"(106.738, 10.8012)","(106.736, 10.8026)","(106.734, 10.8034)","('thảo_điền', 'nguyễn_duy_hiệu', 'số_39')",316,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
9986,100000025,"(106.738, 10.8012)","(106.736, 10.8026)","(106.73200000000001, 10.8028)","('thảo_điền', 'nguyễn_duy_hiệu', 'quốc_hương')",432,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
9991,100000025,"(106.738, 10.8012)","(106.736, 10.8026)","(106.73200000000001, 10.8)","('thảo_điền', 'nguyễn_duy_hiệu', 'empty')",424,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
9992,100000025,"(106.738, 10.8012)","(106.736, 10.8026)","(106.73100000000001, 10.7996)","('thảo_điền', 'nguyễn_duy_hiệu', 'cầu_sài_gòn_1')",748,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
9997,100000025,"(106.738, 10.8012)","(106.736, 10.8026)","(106.721, 10.7981)","('thảo_điền', 'nguyễn_duy_hiệu', 'điện_biên_phủ')",984,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
10344,100000025,"(106.738, 10.8012)","(106.734, 10.8034)","(106.73200000000001, 10.8028)","('thảo_điền', 'số_39', 'quốc_hương')",160,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
10349,100000025,"(106.738, 10.8012)","(106.734, 10.8034)","(106.73200000000001, 10.8)","('thảo_điền', 'số_39', 'empty')",119,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
10350,100000025,"(106.738, 10.8012)","(106.734, 10.8034)","(106.73100000000001, 10.7996)","('thảo_điền', 'số_39', 'cầu_sài_gòn_1')",278,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
10355,100000025,"(106.738, 10.8012)","(106.734, 10.8034)","(106.721, 10.7981)","('thảo_điền', 'số_39', 'điện_biên_phủ')",363,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
10436,100000025,"(106.738, 10.8012)","(106.73200000000001, 10.8028)","(106.73200000000001, 10.8)","('thảo_điền', 'quốc_hương', 'empty')",170,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
10437,100000025,"(106.738, 10.8012)","(106.73200000000001, 10.8028)","(106.73100000000001, 10.7996)","('thảo_điền', 'quốc_hương', 'cầu_sài_gòn_1')",391,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
10442,100000025,"(106.738, 10.8012)","(106.73200000000001, 10.8028)","(106.721, 10.7981)","('thảo_điền', 'quốc_hương', 'điện_biên_phủ')",525,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
10857,100000025,"(106.738, 10.8012)","(106.73200000000001, 10.8)","(106.73100000000001, 10.7996)","('thảo_điền', 'empty', 'cầu_sài_gòn_1')",334,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
10862,100000025,"(106.738, 10.8012)","(106.73200000000001, 10.8)","(106.721, 10.7981)","('thảo_điền', 'empty', 'điện_biên_phủ')",513,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
10898,100000025,"(106.738, 10.8012)","(106.73200000000001, 10.8)","(106.68299999999999, 10.7908)","('thảo_điền', 'empty', 'empty')",114,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_3')"
10939,100000025,"(106.738, 10.8012)","(106.73100000000001, 10.7996)","(106.729, 10.7993)","('thảo_điền', 'cầu_sài_gòn_1', 'cầu_sài_gòn_1')",283,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
10943,100000025,"(106.738, 10.8012)","(106.73100000000001, 10.7996)","(106.721, 10.7981)","('thảo_điền', 'cầu_sài_gòn_1', 'điện_biên_phủ')",879,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
11334,100000025,"(106.738, 10.8012)","(106.721, 10.7981)","(106.721, 10.7983)","('thảo_điền', 'điện_biên_phủ', 'điện_biên_phủ')",534,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
11352,100000025,"(106.738, 10.8012)","(106.721, 10.7981)","(106.695, 10.7912)","('thảo_điền', 'điện_biên_phủ', 'võ_thị_sáu')",120,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
11371,100000025,"(106.738, 10.8012)","(106.721, 10.7981)","(106.681, 10.7926)","('thảo_điền', 'điện_biên_phủ', 'nguyễn_văn_trỗi')",168,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_phú_nhuận')"
12625,100000025,"(106.738, 10.8012)","(106.695, 10.7912)","(106.681, 10.7926)","('thảo_điền', 'võ_thị_sáu', 'nguyễn_văn_trỗi')",140,FALSE,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_8_quận_phú_nhuận')"
14595,100000025,"(106.738, 10.8014)","(106.736, 10.8026)","(106.681, 10.7926)","('song_hành_xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'nguyễn_văn_trỗi')",112,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận')"
15040,100000025,"(106.738, 10.8014)","(106.73200000000001, 10.8028)","(106.681, 10.7926)","('song_hành_xa_lộ_hà_nội', 'quốc_hương', 'nguyễn_văn_trỗi')",112,FALSE,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận')"
15503,100000025,"(106.738, 10.8014)","(106.73100000000001, 10.7996)","(106.721, 10.7981)","('song_hành_xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'điện_biên_phủ')",120,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
15522,100000025,"(106.738, 10.8014)","(106.73100000000001, 10.7996)","(106.695, 10.7912)","('song_hành_xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'võ_thị_sáu')",100,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
15541,100000025,"(106.738, 10.8014)","(106.73100000000001, 10.7996)","(106.681, 10.7926)","('song_hành_xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'nguyễn_văn_trỗi')",140,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_phú_nhuận')"
15894,100000025,"(106.738, 10.8014)","(106.721, 10.7981)","(106.721, 10.7983)","('song_hành_xa_lộ_hà_nội', 'điện_biên_phủ', 'điện_biên_phủ')",132,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
15912,100000025,"(106.738, 10.8014)","(106.721, 10.7981)","(106.695, 10.7912)","('song_hành_xa_lộ_hà_nội', 'điện_biên_phủ', 'võ_thị_sáu')",240,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
15922,100000025,"(106.738, 10.8014)","(106.721, 10.7981)","(106.68799999999999, 10.7858)","('song_hành_xa_lộ_hà_nội', 'điện_biên_phủ', 'nam_kỳ_khởi_nghĩa')",168,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_3')"
15931,100000025,"(106.738, 10.8014)","(106.721, 10.7981)","(106.681, 10.7926)","('song_hành_xa_lộ_hà_nội', 'điện_biên_phủ', 'nguyễn_văn_trỗi')",336,FALSE,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_phú_nhuận')"
